Date,Price,Open,High,Low,Vol.,Change %,Daily Return
2024-05-23,137.49,139.64,139.64,136.21,2790000.0,-0.0139,-0.0009446301409677949
2024-05-22,139.43,139.97,141.59,139.23,1720000.0,-0.0070999999999999995,0.014110117099425334
2024-05-21,140.42,140.27,141.02,139.95,1950000.0,-0.0014000000000000002,0.007100337086709985
2024-05-20,140.62,141.81,142.02,140.1,1340000.0,-0.0084,0.0014242985329726565
2024-05-17,141.81,142.15,142.23,140.85,1380000.0,0.0054,0.008462523111932851
2024-05-16,141.05,144.4,144.97,140.41,3110000.0,-0.0229,-0.0053592835484097545
2024-05-15,144.35,144.04,145.38,143.54,2060000.0,0.0089,0.023395958879829815
2024-05-14,143.08,143.04,143.75,142.14,1680000.0,0.0062,-0.008798060270176489
2024-05-13,142.2,143.88,144.24,141.91,1060000.0,-0.0025,-0.006150405367626677
2024-05-10,142.56,142.25,143.15,142.02,1320000.0,0.0005,0.0025316455696202667
2024-05-09,142.49,142.66,143.46,141.94,1580000.0,-0.0024,-0.0004910213243546346
2024-05-08,142.83,142.09,143.22,141.52,1270000.0,0.0019,0.002386132360165716
2024-05-07,142.56,144.19,144.62,141.61,1930000.0,-0.0054,-0.001890359168241984
2024-05-06,143.33,143.43,144.6,142.83,1490000.0,0.006500000000000001,0.005401234567901314
2024-05-03,142.41,143.18,143.43,142.03,1640000.0,0.0042,-0.006418753924509968
2024-05-02,141.81,143.19,143.44,141.46,2110000.0,0.0012,-0.004213187276174368
2024-05-01,141.64,143.0,143.82,141.15,1950000.0,-0.0125,-0.0011987871095128222
2024-04-30,143.43,144.37,145.02,143.34,2040000.0,-0.014199999999999999,0.012637672973736302
2024-04-29,145.5,146.83,147.27,144.79,2170000.0,-0.0049,0.014432127170048048
2024-04-26,146.21,145.16,148.98,144.7,4330000.0,0.0016,0.004879725085910724
2024-04-25,145.97,148.34,149.0,144.93,3760000.0,-0.0195,-0.0016414745913412299
2024-04-24,148.87,147.14,149.6,146.76,3960000.0,0.0066,0.019867095978625793
2024-04-23,147.9,147.08,149.94,146.88,2500000.0,0.0044,-0.006515751998387831
2024-04-22,147.25,144.1,147.28,143.09,2880000.0,0.0304,-0.0043948613928330715
2024-04-19,142.91,142.26,145.19,142.26,2530000.0,0.009000000000000001,-0.02947368421052632
2024-04-18,141.63,137.99,143.66,137.99,3000000.0,0.0355,-0.00895668602617028
2024-04-17,136.77,137.75,138.57,136.52,1760000.0,0.0026,-0.034314763821224226
2024-04-16,136.41,138.3,138.6,136.25,2210000.0,-0.0199,-0.0026321561745997757
2024-04-15,139.18,141.8,142.43,138.15,2860000.0,-0.0032,0.02030642914742331
2024-04-12,139.62,138.18,139.66,137.86,2530000.0,-0.0051,0.0031613737605977743
2024-04-11,140.34,140.12,141.37,137.6,2150000.0,0.0029,0.005156854318865589
2024-04-10,139.94,141.16,141.57,138.15,3040000.0,-0.024900000000000002,-0.0028502208921191707
2024-04-09,143.52,144.12,144.5,142.49,1350000.0,-0.0028000000000000004,0.02558239245390892
2024-04-08,143.92,143.78,145.24,143.52,1720000.0,0.0028000000000000004,0.002787068004459048
2024-04-05,143.52,142.11,143.68,141.68,1570000.0,0.0098,-0.0027793218454695845
2024-04-04,142.13,146.76,147.21,142.05,2420000.0,-0.008,-0.00968506131549618
2024-04-03,143.27,144.1,144.71,142.42,1950000.0,-0.0079,0.00802082600436238
2024-04-02,144.41,144.5,144.92,143.12,1920000.0,-0.0060999999999999995,0.007957004257695077
2024-04-01,145.3,148.85,148.89,144.99,1640000.0,-0.0241,0.006163008101932155
2024-03-28,148.89,145.6,149.27,145.0,4040000.0,0.030299999999999997,0.024707501720578007
2024-03-27,144.51,141.82,144.57,141.46,2590000.0,0.026099999999999998,-0.02941769091275437
2024-03-26,140.83,140.92,141.93,140.66,1730000.0,0.002,-0.025465365718635224
2024-03-25,140.55,140.15,141.96,140.0,2380000.0,-0.0043,-0.00198821273876304
2024-03-22,141.16,143.3,143.66,141.08,1850000.0,-0.0141,0.004340092493774428
2024-03-21,143.18,142.67,143.99,142.03,2400000.0,0.009899999999999999,0.014310002833664015
2024-03-20,141.77,136.46,141.8,135.89,2340000.0,0.036000000000000004,-0.009847744098337774
2024-03-19,136.85,136.57,137.91,136.25,2280000.0,0.0043,-0.03470409818720477
2024-03-18,136.27,136.0,136.84,135.13,2800000.0,0.0053,-0.004238217025940738
2024-03-15,135.55,137.1,139.91,135.34,4260000.0,-0.0278,-0.00528362809128935
2024-03-14,139.43,140.29,141.14,138.2,2250000.0,-0.0084,0.028624123939505752
2024-03-13,140.61,140.47,141.17,139.77,1970000.0,0.0024,0.008463028042745568
2024-03-12,140.27,139.0,140.47,138.15,2260000.0,0.0131,-0.002418035701585941
2024-03-11,138.46,136.97,138.59,135.96,2000000.0,0.009000000000000001,-0.012903685748912874
2024-03-08,137.23,138.0,138.92,136.76,1960000.0,-0.0031,-0.00888343203813391
2024-03-07,137.65,136.5,138.18,136.35,1590000.0,0.0141,0.003060555272170973
2024-03-06,135.74,137.69,138.1,135.08,2180000.0,-0.0132,-0.013875771885216048
2024-03-05,137.56,134.6,139.95,134.6,3310000.0,0.0115,0.013407985855311555
2024-03-04,135.99,136.34,137.31,135.8,2590000.0,-0.005699999999999999,-0.011413201512067372
2024-03-01,136.77,137.72,137.91,135.94,2250000.0,-0.0060999999999999995,0.005735715861460378
2024-02-29,137.61,138.42,138.42,136.16,3640000.0,-0.0001,0.006141697740732699
2024-02-28,137.62,136.33,138.31,136.25,2950000.0,0.0058,7.266913741732495e-05
2024-02-27,136.82,135.31,137.07,134.21,3130000.0,0.0173,-0.005813108559802438
2024-02-26,134.49,134.97,136.99,134.39,2170000.0,-0.0076,-0.017029674024265362
2024-02-23,135.52,135.39,136.54,134.35,3090000.0,0.0070999999999999995,0.007658561974868139
2024-02-22,134.56,134.75,136.28,134.32,4340000.0,-0.0033,-0.007083825265643551
2024-02-21,135.01,136.06,136.75,134.07,6490000.0,-0.0173,0.0033442330558857147
2024-02-20,137.39,130.83,138.95,129.68,16530000.000000002,0.0012,0.0176283238278645
2024-02-16,137.23,136.01,138.01,135.13,1630000.0,0.0064,-0.00116456801805076
2024-02-15,136.36,135.77,137.21,135.38,1530000.0,0.009300000000000001,-0.006339721635210793
2024-02-14,135.11,134.95,135.21,133.27,1270000.0,0.0118,-0.009166911117629795
2024-02-13,133.53,135.14,135.14,132.39,2130000.0,-0.0287,-0.011694175116571781
2024-02-12,137.48,135.6,138.03,134.82,1520000.0,0.0171,0.029581367482962584
2024-02-09,135.17,135.11,135.5,133.35,1350000.0,-0.0016,-0.016802443991853377
2024-02-08,135.38,133.89,135.53,132.5,1570000.0,0.0105,0.0015535991714137332
2024-02-07,133.97,134.85,135.13,132.31,1450000.0,-0.0028000000000000004,-0.010415127788447331
2024-02-06,134.35,134.78,135.45,133.03,1570000.0,-0.0066,0.0028364559229678843
2024-02-05,135.24,135.02,135.72,133.9,1810000.0,-0.0091,0.006624488276888885
2024-02-02,136.48,134.04,137.25,133.02,2130000.0,0.0143,0.00916888494528223
2024-02-01,134.56,135.36,136.59,132.15,2020000.0,-0.005600000000000001,-0.014067995310668158
2024-01-31,135.32,137.11,138.63,135.0,2190000.0,-0.023700000000000002,0.005648038049940407
2024-01-30,138.61,138.37,139.19,137.97,1780000.0,0.0009,0.02431274017144558
2024-01-29,138.48,139.64,140.86,136.95,2660000.0,-0.0017000000000000001,-0.0009378832696055328
2024-01-26,138.72,132.55,139.48,132.55,5350000.0,0.04650000000000001,0.0017331022530329143
